Nom du Medicament,Numero AMM,Date Début,Prix Public,DCI,dosage,Conditionnement,Forme Galénique,Laboratoire,Voie d’administration,classe thérapeutique,RCP,Notice,Image
LOVENOX,4561,21/05/2003,21944,ENOXAPARINE,2000 ui,BOITE / 6 SERINgUES PRE-REMPLIES,SOLUTION INJECTABLE,AVENTIS PHARMA,SOUS CUTANEE,ANTICOAGULANT,RCP,Notice,Image
KETEC,4565,21/05/2003,26212,TELITHROMYCINE,400 mg,BOITE / 10,COMPRIMÉ,AVENTIS PHARMA,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
HIBERIX,4588,21/05/2003,13010,"vaccin lyophilisé base de polyccharide capsulaire polyribosyl-ribitol-phosphate purifié / haemophilus influenzae type b, couplé par une liaison covalente A l’anatoxine TETANIQUE",,BOITE / 1 SERINgUE PRE-REMPLIE,SOLUTION INJECTABLE,GLAXO SMITH KLINE BIOLOGICAL,INJECTABLE,VACCIN ANTIHAEMOPHILUS,RCP,Notice,Image
HAVRIX,4592,21/05/2003,31379,Virus de l’hepatite A inactive absorbe,1440 UI,BOITE / 1 SERINgUE PRE-REMPLIE,SOLUTION INJECTABLE,GLAXO SMITH KLINE BIOLOGICAL,INJECTABLE,VACCIN CONTRE L’HEPATITE A,RCP,Notice,Image
FLUDITEC,4609,21/05/2003,3182,DEXTROMETHORPHANE,150mg,FLACON / 150 ml,SIROP,INNOTHERA CHOUZY,ORALE,ANTITUSSIF,RCP,Notice,Image
EXFOLIAC,4595,21/05/2003,3778,ALPHA HYDROXYACIDE / LACTATE DE ZINC,,FLACON / 30,CRÈME DERMIQUE,MERCK GENERIQUES,CUTANEE,ANTIACNEÏQUE,RCP,Notice,Image
HAVRIX 720 JUNIOR,4590,21/05/2003,21374,suspension stérile renfermant le virus de l’hépatite A inactivé par le formaldehyde ( souche HM 175 du virus de l’hépatite A) Havrix720 standardisé pour Garantir un taux d’antiGènes,,BOITE / 1 SERINgUE PRE-REMPLIE,SOLUTION INJECTABLE,GLAXO SMITH KLINE BIOLOGICAL,INJECTABLE,VACCIN CONTRE L’HEPATITE A,RCP,Notice,Image
TERPONE ENFANT,4598,19/05/2003,1474,HUILE ESSENTIELLE D’EUCALYPTUS / HUILE ESSENTIELLE DE NIAOULI / HUILE ESSENTIELLE DE PIN DE SIBERIE / TERPINE,100 mg / 15 mg,FLACON / 100 ml,SIROP,ROSA PHYTOPHARMA,ORALE,ANTITUSSIF,RCP,Notice,Image
LRJ,4539,13/05/2003,3299,PHENIRAMINE / TETYZOLINE,30 mg / 5 mg,FLACON / 10 ml,COLLYRE,MEDIS,OCULAIRE,ANTIALLERGIQUE,RCP,Notice,Image
IVERMEC,4478bis,13/05/2003,3355,IVERMECTINE,1%,FLACON / 2 ml,AMPOULE INJECTABLE,LOBS INTERNATIONAL HEALTH,INJECTABLE,ANTIPARASITAIRE,RCP,Notice,Image
FUROLIX,4549,13/05/2003,850,FUROSEMIDE,20 mg / 2 ml,BOITE / 50,AMPOULE INJECTABLE,MEDIS,INTRAMUSCULAIRE/INTRAVEINEUSE,ANTIHYPERTENSEUR,RCP,Notice,Image
DEXA,4538,13/05/2003,3900,DEXAMETHASONE,4 mg/ml,BOITE / 10,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIINFLAMMATOIRE STEROIDIEN,RCP,Notice,Image
TAREG,4516,28/04/2003,26485,VALSARTAN,160 mg,BOITE / 28,GÉLULE,NOVARTIS PHARMA GMBH,ORALE,ANTIHYPERTENSEUR / HYPOCHOLESTEROLEMIANT,RCP,Notice,Image
RANI-DENK,4255,28/04/2003,7663,RANITIDINE,150mg,BOITE / 5 BLISTERS DE 10,COMPRIMÉ,DENK PHARMA GMBH & Co KG,ORALE,ANTIULCEREUX,RCP,Notice,Image
PLENIVITE,4445,28/04/2003,1292,Acetate de DI-alphatocoferol 125 / ACIDE ASCORBIQUE C 97 / ACIDE FOLIQUE / CHOLECALCIFEROL / CYANOCOBALAMINE / FUMARATE FERREUX / IODE / NIACINE / RIBOFLAVINE / ZINC,,BOITE / 36,COMPRIMÉ,SUSSEX PHARMACEUTICAL LIMITED,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
PARACETS G,4446,28/04/2003,1022,PARACETAMOL,500 mg,BOITE / 24,GÉLULE,SUSSEX PHARMACEUTICAL LIMITED,ORALE,ANTALGIQUE,RCP,Notice,Image
FORCAN,4563,28/04/2003,9144,FLUCONAZOLE,200 mg / 100 ml,FLACON / 100 ml,POUDRE POUR PRÉPARATION INJECTABLE,CiPLA LTD,INJECTABLE,ANTIFONGIQUE,RCP,Notice,Image
EFAVIR,4566,28/04/2003,47413,EFAVIRENZ,200 mg,BOITE / 30,COMPRIMÉ,CiPLA LTD,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
EAU POUR PREPARATION INJECTABLE,4553,28/04/2003,11151,EAU POUR PREPARATION INJECTABLE,,BOITE / 100 AMPOULES,,VIFOR INDIA PRIVATE LIMITED,INJECTABLE,,RCP,Notice,Image
DICLO-DENK,4261,28/04/2003,4578,DICLOFENAC SODIUM,75 mg / 3 ml,BOITE / 10 AMPOULES INJECTABLES DE 3 ml,AMPOULE INJECTABLE,E.DENK OHG,INJECTABLE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
CIMETIDINE,4555,28/04/2003,3420,CIMETIDINE,400 mg,BOITE / 10,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIULCEREUX,RCP,Notice,Image
CHLORAMPHENICOL,4552,28/04/2003,54829,CHLORAMPHENICOL,1 g,BOITE / 50,AMPOULE INJECTABLE,VYSALI PHARMACEUTICALS LIMITED,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
UNIMER,4582,25/04/2003,2815,"EAU DE MER FILTRÉE A 0,22 µ / EAU PURIFIÉE",30 % / 70 %,FLACON / 100 ml,SOLUTION NASALE,DIEPHARMEX SAS,NASALE,DECONGESTIONNANT NASAL,RCP,Notice,Image
TAREG,4515,25/04/2003,25956,VALSARTAN,160 mg,BOITE / 28,COMPRIMÉ,NOVARTIS PHARMA S.A,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
STAVIR,4569,25/04/2003,9850,STAVUDINE,40 mg,BOITE / 60,COMPRIMÉ,CiPLA LTD,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
STAVIR,4565,25/04/2003,9311,STAVUDINE,30 mg,BOITE / 60,COMPRIMÉ,CiPLA LTD,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
INDIVAN,4568bis,25/04/2003,31169,INDINAVIR,400 mg,BOITE / 60,COMPRIMÉ,CiPLA LTD,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
FORCAN,4570,25/04/2003,1208,FLUCONAZOLE,50 mg,BOITE / 40,GÉLULE,CiPLA LTD,ORALE,ANTIFONGIQUE,RCP,Notice,Image
DUOVIR,4564,25/04/2003,62932,LAMIVUDINE / ZIDOVUDINE,150 mg / 300 mg,BOITE / 60,COMPRIMÉ,CiPLA LTD,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
CIPROX,4577,25/04/2003,4795,CIPROFLOXACINE,500 mg,BOITE / 10,COMPRIMÉ,EUROLABS,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
AUDISPRAY,4580,25/04/2003,2815,AZOTE / EAU DE MER FILTREE,"0,22 ui / 7",FLACON / 50 ml,SOLUTION AURICULAIRE,DIEPHARMEX SAS,AURICULAIRE,ANTISEPTIQUE,RCP,Notice,Image
ACYCLOVIR,4270,25/04/2003,11136,ACICLOVIR,5%,TUBE / 10 g,CRÈME DERMIQUE,E.DENK OHG,CUTANEE,ANTIVIRAL,RCP,Notice,Image
UNIMER,4581,15/04/2003,2815,Eau de mer diluée hypertonique (équivalent à 22 g / l de sels).,,FLACON / 100 ml,SOLUTION NASALE,DIEPHARMEX SAS,NASALE,HYGIENE OCCULAIRE,RCP,Notice,Image
STREPSILS LIDOCAINE,4556,15/04/2003,2597,,,BOITE / 24,PASTILLE,BOOTS HEALTHCARE,ORALE,,RCP,Notice,Image
STIMOGENE,4576,15/04/2003,2323,CITRATE DE TRICHOLINE / CYPROHEPTADINE,2 mg / 275 mg,FLACON / 200 ml,SIROP,EUROLABS,ORALE,STIMULANT DE L’APPETIT,RCP,Notice,Image
FORCAN,4567bis,15/04/2003,2189,FLUCONAZOLE,100 mg,BOITE / 40,GÉLULE,CiPLA LTD,ORALE,ANTIFONGIQUE,RCP,Notice,Image
BIOFER-12,4579,15/04/2003,2323,ACIDE ASCORBIQUE / ACIDE FOLIQUE / CITRATE DE FER,,BOITE / 30,GÉLULE,EUROLABS,ORALE,,RCP,Notice,Image
REVIT-SENG,4575,8/4/2003,3568,"Extrait de GinsenG hautement concentree / Vitamine B1, B2, B6",,BOITE / 30,GÉLULE,EUROLABS,ORALE,TONIFIANT,RCP,Notice,Image
CIPROX,4578,8/4/2003,4795,CIPROFLOXACINE,250 mg,BOITE / 20,COMPRIMÉ,EUROLABS,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ELKOSTOP,4559,27/03/2003,10222,OMEPRAZOLE,20 mg,BOITE / 14,GÉLULE,MINERVA PHARMACEUTICAL,ORALE,ANTIULCEREUX,RCP,Notice,Image
ALPHADINE,4560,27/03/2003,5576,RANITIDINE,150 mg,BOITE / 20,COMPRIMÉ,MINERVA PHARMACEUTICAL,ORALE,ANTIULCEREUX,RCP,Notice,Image
NORMOPTIC,4535,25/03/2003,2027,TIMOLOL,"0,25%",FLACON / 5 ml,COLLYRE,MEDIS,OCULAIRE,ANTIGLAUCOMATEUX,RCP,Notice,Image
MEVIROX,4548,25/03/2003,9990,ACICLOVIR,250 mg,BOITE / 1,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIVIRAL,RCP,Notice,Image
TWINRIX ADULTE,4519,19/03/2003,34135,Vaccin combine obtenu par melanGe d’une part du vaccin de l’hépatite A purifié et inactivé et d’antiGéne protéique recombinant (AG HBs),720 ui,BOITE / 1 SERINgUE PRE-REMPLIE,SOLUTION INJECTABLE,GLAXO SMITH KLINE BIOLOGICAL,INJECTABLE,VACCIN CONTRE L’HEPATITE A / VACCIN CONTRE L’HEPATITE B,RCP,Notice,Image
POMMADE ANTISCABIEUSE CANNONE,4269,19/03/2003,1115,BENZOATE DE BENZYLE / DIGLUCONATE DE CHLORHEXIDINE,"0,5 g / 10 g",BOITE / 40 g,POMMADE DERMIQUE,VALDAFRIQUE,ORALE,ANTISCABIEUX,RCP,Notice,Image
MORTIN,4378,19/03/2003,799,SULFAMETHOXAZOLE / TRIMETHOPRIME,200 mg / 40 mg,BOITE / 10,COMPRIMÉ,MICRO LABS LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
MAXI-VIT,4089,19/03/2003,2230,"GinsenG-extrait / Vit E / B1, B2, B6, B12 / Acide ascorbique / Calcium panthatenate / Nicotinamide / Fer / Calcium / Phosphore / Cuivre / Zinc / ManGanése / MaGnésium / Iode",,BOITE / 20,AMPOULE BUVABLE,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
EVACEF,4377,19/03/2003,5018,céfotaxime,,,AMPOULE INJECTABLE,NEON LABORATORIES LIMITED,INJECTABLE,,RCP,Notice,Image
TAXIM,4383,13/03/2003,5018,CEFOTAXIME,1 g,,AMPOULE INJECTABLE,ALKEM LABORATORIES LIMITED,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
ETHASYL,4382,13/03/2003,1580,ETHAMSYLATE,500 mg,BOITE / 10,COMPRIMÉ,FDC LIMITED,ORALE,ANTIHEMORRAGIQUE,RCP,Notice,Image
ETHASYL,4381,13/03/2003,1375,ETAMSYLATE,250 mg,BOITE / 4,AMPOULE INJECTABLE,FDC LIMITED,INJECTABLE,ANTIHEMORRAGIQUE,RCP,Notice,Image
VERMIN,4091,7/3/2003,743,MEBENDAZOLE,100 mg,FLACON / 30 ml,SUSPENSION BUVABLE,HOLDING COMPAGNY PHARMACEUTICAL/CHEMICAL AND MEDICALS APPLIA,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
VERMIN,4100,7/3/2003,334,MEBENDAZOLE,100 mg,BOITE / 6,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL/CHEMICAL AND MEDICALS APPLIA,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
VENTENE,4094,7/3/2003,743,SALBUTAMOL,2 mg,BOITE / 20,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL/CHEMICAL AND MEDICALS APPLIA,ORALE,ANTIASTHMATIQUE,RCP,Notice,Image
SUTRIM,4093,7/3/2003,836,SULFAMETHOXAZOLE / Trimethroprime,200 mg / 40 mg,FLACON / 100 ml,SOLUTION BUVABLE,,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
SUTRIM,4099,7/3/2003,743,SULFAMETHOXAZOLE / Trimethroprime,400 mg / 80 mg,BOITE / 20,COMPRIMÉ,,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
SALBOVENT,4087,7/3/2003,836,SULFATE DE SALBUTAMOL,"0,5 mg / ml",BOITE / 5,AMPOULE INJECTABLE,,INHALEE,ANTIASTHMATIQUE,RCP,Notice,Image
PARAMOL,4097,7/3/2003,427,PARACETAMOL,500 mg,BOITE / 20,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,ANTALGIQUE,RCP,Notice,Image
METROZOLE,4088,7/3/2003,4088,METRONIDAZOLE,250 mg,BOITE / 20,COMPRIMÉ,MEDIS,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
METFORMIN HOLDING,4098,7/3/2003,1115,METFORMINE,500 mg,BOITE / 50,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,ANTIDIABETIQUE,RCP,Notice,Image
LOPODIUM,4096,7/3/2003,558,LOPERAMIDE,2 mg,BOITE / 10,GÉLULE,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,ANTIDIARRHEIQUE,RCP,Notice,Image
KETOZOLE,4092,7/3/2003,1859,KETOCONAZOLE,200 mg,BOITE / 10,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,ANTIFONGIQUE,RCP,Notice,Image
FLAGICURE,4090,7/3/2003,558,METRONIDAZOLE,500 mg,,CAPSULE VAGINALE,HOLDING COMPAGNY PHARMACEUTICAL,VAGINALE,ANTIPARASITAIRE,RCP,Notice,Image
DIAZEPAM HOLDING COMPAGNY PHARMACEUTICAL,4095,7/3/2003,23235,DIAZEPAM,5 mg,BOITE / 100,COMPRIMÉ,HOLDING COMPAGNY PHARMACEUTICAL,ORALE,ANXIOLYTIQUE,RCP,Notice,Image
ZEFFIX,4521,5/3/2003,117039,LAMIVUDINE,100 mg,BOITE / 28,COMPRIMÉ,GLAXO WELLCOME OPERATIONS UK,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
ZEFFIX,4522,5/3/2003,50229,LAMIVUDINE,5 mg,FLACON / 240 ml,SIROP,GLAXO WELLCOME GREENFORD UK,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
SERETIDE,4524,5/3/2003,27406,FLUTICASONE / SALMETEROL,125 mcg / 25 mcg,FLACON / 120 DOSES,INHALATEUR À POUDRE SÉCHE,GLAXO WELLCOME,INHALEE,ANTIASTHMATIQUE,RCP,Notice,Image
SERETIDE,4524bis,5/3/2003,22859,FLUTICASONE / SALMETEROL,25 mcg / 50 mcg /,FLACON / 120 DOSES,INHALATEUR À POUDRE SÉCHE,GLAXO WELLCOME,INHALEE,ANTIASTHMATIQUE,RCP,Notice,Image
RETROVIR,4518,5/3/2003,128801,ZIDOVUDINE,300 mg,BOITE / 60,COMPRIMÉ,GLAXO SMITH KLINE,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
COMBIVIR,4517,5/3/2003,363170,LAMIVUDINE,150 mg,BOITE / 60,COMPRIMÉ,GLAXO WELLCOME,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
NYOLOL,4511,27/02/2003,10036,TIMOLOL,1 mg,FLACON / 5 g,GEL OPHTALMIQUE,CIBA VISION SA 8442 HETTLINGER,OCULAIRE,ANTIGLAUCOMATEUX,RCP,Notice,Image
EFFERALGAN ODIS,4525,27/02/2003,1716,PARACETAMOL,500 mg,BOITE / 16,COMPRIMÉ,UPSA,ORALE,ANTALGIQUE,RCP,Notice,Image
CIVIGEL,4509,26/02/2003,3959,CARBOMERE 980 NF,"0,20%",TUBE / 10 g,GEL OPHTALMIQUE,CIBA VISION FAURE,OCULAIRE,SUPPLEANCE LACRYMALE,RCP,Notice,Image
CETAMYL,4274,26/02/2003,1057,PARACETAMOL,500 mg,BOITE / 12,SACHET,GALENICA S.A,ORALE,ANTALGIQUE,RCP,Notice,Image
CETAMYL,4271,26/02/2003,776,,,BOITE / 12,SACHET,GALENICA S.A,ORALE,,RCP,Notice,Image
CETAMYL,4274,26/02/2003,1057,PARACETAMOL,500 mg,BOITE / 16,COMPRIMÉ EFFERVESCENT,GALENICA S.A,ORALE,ANTALGIQUE,RCP,Notice,Image
ZADITEN,4512,25/02/2003,5539,KETOTIFENE,"0,25 mg / ml",FLACON / 5 ml,COLLYRE,NOVARTIS PHARMA,OCULAIRE,ANTIALLERGIQUE,RCP,Notice,Image
VISIODIS,4537,25/02/2003,853,BENZALKONIUM CHLORURE,"0,01 g",FLACON / 10 ml,COLLYRE,MEDIS,OCULAIRE,ANTISEPTIQUE,RCP,Notice,Image
VANCO,4542,25/02/2003,14933,Vancomycine Chlorhydrate,500 mg,BOITE / 1,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
SAFORELLE,4513,25/02/2003,15218,ARETIUM LAPPA ( CONCENTRE PARFUME DE DYNAPHYTOLS DE BARDANE),,FLACON / 250 ml,SOLUTION À USAGE EXTERNE,IPRAD SANTE,CUTANEE,ANTISEPTIQUE,RCP,Notice,Image
RANITIL,4277,25/02/2003,7765,RANITIDINE,300 mg,BOITE / 14,COMPRIMÉ,GALENICA S.A,ORALE,ANTIULCEREUX,RCP,Notice,Image
RANITIL,4276,25/02/2003,7765,RANITIDINE,150 mg,BOITE / 30,COMPRIMÉ,GALENICA S.A,ORALE,ANTIULCEREUX,RCP,Notice,Image
PERVITAL,4275,25/02/2003,3035,ACIDE ASCORBIQUE / CYPROHEPTADINE / NICOTINAMIDE / PTRIDOXINE / RIBOFLAVINE / THIAMINE,"/ 10 mg / 12,5 mg / 150 mg / 4 mg / 5 mg",BOITE / 20,COMPRIMÉ,GALENICA S.A,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
NORMOPTIC,4536,25/02/2003,2347,TIMOLOL,"0,50%",FLACON / 5 ml,COLLYRE,MEDIS,OCULAIRE,ANTIGLAUCOMATEUX,RCP,Notice,Image
MEXINE,4545,25/02/2003,3151,CIMETIDINE,200 mg,BOITE / 10,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIULCEREUX,RCP,Notice,Image
MEDICAINE,4543,25/02/2003,17648,MEPIVACAINE,3%,BOITE / 50,SOLUTION INJECTABLE,MEDIS,INJECTABLE,ANESTHESIQUE,RCP,Notice,Image
MEDICAINE,4544,25/02/2003,17648,L-ADRENALINE BITARTRATE / MEPIVACAINE,"0,0181 g / 2%",BOITE / 50,SOLUTION INJECTABLE,MEDIS,INJECTABLE,ANESTHESIQUE,RCP,Notice,Image
HEPARINE MEDIS,4540,25/02/2003,12000,HEPARINE SODIQUE,25000 UI,BOITE / 10 FLACONS,SOLUTION INJECTABLE,MEDIS,SOUS CUTANEE,ANTICOAGULANT,RCP,Notice,Image
GENTA,4551,25/02/2003,5600,GENTAMICINE,80 mg / 2 ml,BOITE / 5,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
GENTA,4547,25/02/2003,3467,"béclométasone, gentamicine, clotrimazole, clioquinol",,BOITE / 5,AMPOULE INJECTABLE,MEDIS,INJECTABLE,,RCP,Notice,Image
GENTA,4546,25/02/2003,2504,GENTAMICINE,20 mg,BOITE / 5,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIBIOTIQUE,RCP,Notice,Image
DICLOREUM,4541,25/02/2003,2219,DICLOFENAC SODIQUE,75 mg / 3 ml,BOITE / 5,AMPOULE INJECTABLE,MEDIS,INJECTABLE,ANTIINFLAMMATOIRE NON STEROÏDIEN,RCP,Notice,Image
CETAMYL,4272,25/02/2003,880,PARACETAMOL,250 mg,BOITE / 12,SACHET,GALENICA S.A,ORALE,ANTALGIQUE,RCP,Notice,Image
AEROBON,4510,25/02/2003,2598,SALBUTAMOL,100 mcg / DOSE,FLACON / 200 DOSES,LIQUIDE POUR NÉBULISATION,WOCKHARDT LIMITED,INHALEE,ANTIHISTAMINIQUE,RCP,Notice,Image
AERIUS,4534,25/02/2003,6035,DESLORATADINE,5 mg,BOITE / 15,COMPRIMÉ,SCHERING PLOUGH EUROPE,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
ACYCLOVIR,4257,25/02/2003,7968,ACICLOVIR,200 mg,BOITE / 25,COMPRIMÉ,E.DENK OHG,ORALE,ANTIVIRAL,RCP,Notice,Image
ZANOCIN,4532,24/02/2003,9293,CIPROFLAXACINE,200 mg,BOITE / 10,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
CANOVA,4528,24/02/2003,14869,SILDENAFIL,50 mg,BOITE / 4,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,APHRODISIAQUE,RCP,Notice,Image
SYNTHOL,4447,21/02/2003,2292,ACIDE SALICYLIQUE / LEVOMENTHOL / RESORCINOL / VERATROLE,"0,03 g / 0,10 g / 0,25 g / 0,52 g",TUBE / 100 g,GEL DERMIQUE,SMITH KLINE BEECHAM,CUTANEE,ANTISEPTIQUE,RCP,Notice,Image
ROLETRA,4530,21/02/2003,2230,LORATADINE,10 mg,BOITE / 30,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,ANTIHISTAMINIQUE,RCP,Notice,Image
CRIX AN,4533,21/02/2003,5576,CLARITHROMYCINE,250 mg,BOITE / 12,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ZANOCIN,4531,20/02/2003,18578,CIPROFLAXACINE,400 mg,BOITE / 10,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
GEL DE CALAMINE BAILLEUL,4140,20/02/2003,3041,CALAMINE / OXYDE DE ZINC,8 g,gEL FLUIDE 50ml,GEL DERMIQUE,BAILLEUL,CUTANEE,PROTECTEUR CUTANE,RCP,Notice,Image
CANOVA,4529,20/02/2003,18586,SILDENAFIL,100 mg,BOITE / 4,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,APHRODISIAQUE,RCP,Notice,Image
CANOVA,4527,20/02/2003,9293,SILDENAFIL,25 mg,BOITE / 4,COMPRIMÉ,RANBAXY LABORATOIRES LIMITED,ORALE,APHRODISIAQUE,RCP,Notice,Image
TOBRADEX,4438,6/2/2003,3194,DEXAMETHASONE / TOBRAMYCINE,"0,1% / 0,3%","TUBE / 3,5 g",POMMADE OPHTALMIQUE,ALCON,OCULAIRE,ANTIBIOTIQUE / ANTIINFLAMMATOIRE STEROIDIEN,RCP,Notice,Image
ZITHROMAX,4500,27/01/2003,14766,AZITHROMYCINE,300 mg,BOITE / 3,SACHET,PFIZER S.A,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ZITHROMAX,4499,27/01/2003,9758,AZITHROMYCINE,200 mg,BOITE / 3,SACHET,PFIZER S.A,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ZITHROMAX,4501,27/01/2003,14931,AZITHROMYCINE,500 mg,BOITE / 3,COMPRIMÉ,PFIZER S.A,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
ZITHROMAX,4498,27/01/2003,5538,AZITHROMYCINE,100 mg,BOITE / 3,SACHET,PFIZER S.A,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
RIFODERM,4502,27/01/2003,881,PREDNISOLONE ACETATE MICRONISE / PROPYLENE GLYCOL / RIFAMYCINE,"0,0125 g / 0,05 g / 0,7 g",TUBE / 15 g,POMMADE DERMIQUE,PFIZER S.A,CUTANEE,ANTIBIOTIQUE / ANTIINFLAMMATOIRE STEROIDIEN,RCP,Notice,Image
QUINOLOX,4448,27/01/2003,6877,OFLOXACINE,200 mg,BOITE / 10,COMPRIMÉ,PHARMA 5,ORALE,ANTIBIOTIQUE,RCP,Notice,Image
PHYSIOTENS,4443,27/01/2003,9200,MOXONIDINE,"0,2 mg",BOITE / 28,COMPRIMÉ,SOLVAY PHARMA,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
PHYSIOTENS,4444,27/01/2003,16560,MOXONIDINE,"0,4 mg",BOITE / 28,COMPRIMÉ,SOLVAY PHARMA,ORALE,ANTIHYPERTENSEUR,RCP,Notice,Image
OZIBEN,4426,27/01/2003,1217,MEBENDAZOLE,200 mg,BOITE / 3,SACHET,CiPLA LTD,ORALE,ANTIPARASITAIRE,RCP,Notice,Image
NORVIR,4461,27/01/2003,67253,RITONAVIR,80 mg / ml,FLACON / 90 ml,SUSPENSION BUVABLE,ABBOT LABORATOIRES LIMITED,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
LOXAIR,4425,27/01/2003,2695,SALBUTAMOL,100 mcg / DOSE,FLACON / 200 DOSES,LIQUIDE POUR NÉBULISATION,CIPLA -MEDRO LTD,INHALEE,ANTIASTHMATIQUE,RCP,Notice,Image
KALETRA,4463,27/01/2003,67253,LOPINAVIR / RITONAVIR,"133,3 mg / 33,3 mg",BOITE / 180,CAPSULE MOLLE,ABBOT LABORATOIRES LIMITED,ORALE,ANTIRETROVIRAL,RCP,Notice,Image
FLAVYL,4428,27/01/2003,3345,,,BOITE / 50,GÉLULE,GLENMARK PHARMACEUTICALS LTD,ORALE,,RCP,Notice,Image
ALPHAVIT,4427,27/01/2003,2602,CHOLECALCIFEROL / NICOTINAMIDE / Riboflavine 5-phosphate / VITAMINE A / VITAMINE B 12 / VITAMINE C,1.2 mg / 10 mg / 2.5 mg / 3000 ui / 40 mg / 500 ui,FLACON / 120 ml,SIROP,IPCA LABORATORIES LTD,ORALE,COMPLEMENT ALIMENTAIRE,RCP,Notice,Image
TEMESTA,4407,20/01/2003,1121,LORAZEPAM,1 mg,BOITE / 30,COMPRIMÉ SÉCABLE,WYETH LEDERLE,ORALE,ANXIOLYTIQUE,RCP,Notice,Image
FONX,4504,20/01/2003,2520,NITRATE D OXICONAZOLE,1%,FLACON / 15 g,POUDRE POUR APPLICATION LOCALE,YAMANOUCHI PHARMA,CUTANEE,ANTIFONGIQUE,RCP,Notice,Image
FONX,4506,20/01/2003,2520,NITRATE D OXICONAZOLE,1%,FLACON / 15 ml,LOTION,YAMANOUCHI PHARMA,CUTANEE,ANTIFONGIQUE,RCP,Notice,Image
FONX,4505,20/01/2003,2520,NITRATE D OXICONAZOLE,1%,TUBE / 15 g,CRÈME DERMIQUE,YAMANOUCHI PHARMA,CUTANEE,ANTIFONGIQUE,RCP,Notice,Image
ULTIMAT,4495,10/1/2003,13655,SILDENAFIL,50 mg,BOITE / 4,COMPRIMÉ,ORCHID HEALTH CARE,ORALE,APHRODISIAQUE,RCP,Notice,Image
